N,intensity_pct,cpu_gbps,decode_tok_s,ms_per_step,slowdown_pct,decode_throttle,steps,peak_mb,kv_mb
2048,0,0.0,77.48,12.91,0.0,1.145,233,1540.0,56.0
2048,25,10.72,73.86,14.048,4.7,1.117,222,1540.0,56.0
2048,50,26.42,66.98,14.516,13.5,1.228,201,1540.0,56.0
2048,75,45.49,58.05,17.045,25.1,1.373,175,1540.0,56.0
2048,100,69.48,48.34,20.53,37.6,1.165,146,1540.0,56.0
8192,0,0.0,65.53,15.077,0.0,1.167,197,1959.0,224.0
8192,25,10.31,65.19,15.757,0.5,1.112,196,1959.0,224.0
8192,50,25.61,60.01,16.696,8.4,1.137,181,1959.0,224.0
8192,75,46.28,51.81,19.184,20.9,1.072,156,1959.0,224.0
8192,100,68.71,42.33,23.605,35.4,1.034,127,1959.0,224.0
