block,key,cond,alpha,mean_ttft,recomputes,total_ms,disagree_rate,contention_factor
p1a,alpha,off,0.0,16352.506,7859,342141776.5,,1.365
p1a,alpha,off,0.1,6998.882,3413,182718603.5,,1.365
p1a,alpha,off,0.2,7177.971,3586,185770994.9,,1.365
p1a,alpha,off,0.3,7250.129,3623,187000856.7,,1.365
p1a,alpha,off,0.4,7200.829,3644,186160583.4,,1.365
p1a,alpha,off,0.5,7191.732,3658,186005537.1,,1.365
p1a,alpha,off,0.6,7205.785,3661,186245048.7,,1.365
p1a,alpha,off,0.7,7205.412,3669,186238692.3,,1.365
p1a,alpha,off,0.8,7205.768,3675,186244773.6,,1.365
p1a,alpha,off,0.9,7205.5,3675,186240198.8,,1.365
p1a,alpha,off,1.0,7205.5,3675,186240198.8,,1.365
p1a,alpha,on,0.0,16352.506,7859,365293601.1,,1.365
p1a,alpha,on,0.1,6998.882,3413,205870428.1,,1.365
p1a,alpha,on,0.2,7177.971,3586,208922819.5,,1.365
p1a,alpha,on,0.3,7250.129,3623,210152681.3,,1.365
p1a,alpha,on,0.4,7200.829,3644,209312408.0,,1.365
p1a,alpha,on,0.5,7191.732,3658,209157361.7,,1.365
p1a,alpha,on,0.6,7205.785,3661,209396873.3,,1.365
p1a,alpha,on,0.7,7205.412,3669,209390517.0,,1.365
p1a,alpha,on,0.8,7205.768,3675,209396598.2,,1.365
p1a,alpha,on,0.9,7205.5,3675,209392023.4,,1.365
p1a,alpha,on,1.0,7205.5,3675,209392023.4,,1.365
p1b,budget_2GB,,,21327.941,10778,8.4,0.7645,19682.36
p1b,budget_4GB,,,20252.07,9167,50.7,0.8129,13437.793
p1b,budget_8GB,,,20006.148,7829,394.6,0.8513,4044.779
p1b,budget_16GB,,,19453.89,6053,6078.7,0.8652,314.855
p1b,budget_32GB,,,18251.097,4148,12932.7,0.8827,140.041
p1c,crossover_off,off,,,,,,1.365
p1c,summary,,,,0,15044,,1.365
p1c,keep_wins_off,off,,,,,1.0,
p1c,keep_wins_on,on,,,,,1.0,
p1c,min_margin,,,3020.27,,2212.66,,
p1c,beff_gbps,,,92.0,,67.4,,
